epoch,acc,loss,val_acc,val_loss
0,0.97683334,0.02014359349757433,0.988125,0.01943767467327416
1,0.97825,0.018858657071987788,0.9889375,0.020712642127647996
2,0.979,0.018531812282900014,0.9879375,0.020579634690657257
3,0.98233336,0.018061592375238737,0.988875,0.020887120105326177
4,0.985,0.01768841480339567,0.988375,0.022676083179190756
5,0.9863333,0.017518710738668838,0.9875625,0.019458627877756953
6,0.98733336,0.017300496572007735,0.9886875,0.018977815287187696
7,0.9903333,0.016986545161654553,0.988125,0.02037112604640424
8,0.9925,0.016799067962914704,0.9881875,0.02402106737717986
9,0.99341667,0.016702560370167097,0.988875,0.022516310401260852
10,0.9941667,0.016529247327397266,0.9884375,0.025291887912899255
11,0.99591666,0.016356218228737514,0.98875,0.020867166724987327
12,0.9956667,0.016194670498371123,0.988375,0.0251163227558136
13,0.99675,0.016064270655314128,0.9889375,0.02485521670151502
14,0.99625,0.015984514443203805,0.98825,0.024324333942495287
15,0.997,0.01589892770536244,0.988375,0.022790232080966234
