epoch,acc,loss,val_acc,val_loss
0,0.91987,0.025998535962153093,0.8506169,0.03264452399273214
1,0.9860674,0.0179434184356558,0.8301909,0.06756196902402342
2,0.9933621,0.01706223163183846,0.8225093,0.08665156344496394
3,0.9981331,0.016410202195573285,0.7984753,0.1467969404373949
4,0.9964736,0.016415532969112218,0.84171325,0.11635300481875793
5,0.9988937,0.016010475136668083,0.8584148,0.09175720719492247
6,0.9964049,0.01639550032281622,0.8041201,0.2537834254653649
7,0.9996197,0.01566740816054977,0.8151769,0.2523985814174821
8,0.9991011,0.015416132973292931,0.7913757,0.285473561727787
9,0.99892825,0.015212856262355605,0.82390594,0.22174881721518974
10,0.9987208,0.015016099376251394,0.7950419,0.29467885193780924
11,0.9992048,0.014767961203150432,0.795682,0.4256970777854434
12,0.99858266,0.014773716638843422,0.8262919,0.23064849515110808
13,0.9997926,0.014438152219021536,0.84543765,0.1669615794344349
14,0.99768364,0.014768031806449181,0.8279795,0.284088411347618
15,0.9986171,0.01432908869384689,0.8205307,0.2779963378468442
16,0.9998963,0.01405793156948137,0.8446811,0.21716381203612137
17,0.9986171,0.014000002947396879,0.7876513,0.5532769787461745
18,0.99834055,0.014013087189464138,0.8288524,0.23430496154637448
19,0.9999654,0.01360015262565287,0.82035613,0.3549236198757156
20,0.99906653,0.013440430612241335,0.8432844,0.18183248449338937
21,0.99972343,0.01306746828808492,0.82681566,0.3138968173424875
22,0.99882454,0.013134544439864962,0.8413641,0.2202383110488746
23,0.9994123,0.012758459241009521,0.8271066,0.27943572211226714
24,0.99972343,0.012540067158278816,0.8228003,0.43158660301577917
25,0.9986864,0.01278667490717139,0.81401306,0.39021003276744454
26,1.0,0.01224948841502106,0.82699025,0.40656924572664016
27,1.0,0.011768162207953252,0.8446811,0.327573403069191
28,0.9977528,0.011798726026879989,0.82681566,0.340831081143596
29,0.99958515,0.011282208643905181,0.8160498,0.4902064145388328
30,1.0,0.010990932305426358,0.81587523,0.5174551993943196
31,0.9979259,0.010923368603905944,0.8346136,0.39071455432251234
32,0.99903196,0.010679056193637715,0.829318,0.38308630999805515
33,0.99934316,0.010614448205512356,0.8273976,0.3209108238566313
34,0.99972343,0.010397709910641123,0.8300745,0.2591021945838794
35,0.99927396,0.010373631548377957,0.8449139,0.18755035708247367
