epoch,acc,loss,val_acc,val_loss
0,0.9903876,0.019630165522563428,0.9851485,0.020626306929235352
1,0.9906988,0.018718822298553497,0.9851485,0.019109796824582352
2,0.9906988,0.018309080937072175,0.9851485,0.019045787435059663
3,0.9906988,0.018037169049423284,0.9851485,0.018886651880206676
4,0.9906988,0.017806971355964072,0.9851485,0.0188752289903064
5,0.9906988,0.017408557839504606,0.9851485,0.01911684752006632
6,0.9906988,0.01717949093868428,0.9851485,0.017915058204664866
7,0.9906988,0.01663766755894069,0.9851485,0.0178597349885095
8,0.9906988,0.016160219585995287,0.9851485,0.017213642440243752
9,0.9906988,0.015902958278540737,0.9851485,0.016788766055161504
10,0.9906988,0.015596147392785345,0.9851485,0.017093026636816992
11,0.9906988,0.015119839978307834,0.9851485,0.01645669791833593
12,0.991667,0.014795944657425206,0.9854397,0.015808036418205034
13,0.991667,0.014437407815492662,0.9870122,0.016058554644809143
14,0.99232394,0.014036124830033839,0.98573095,0.015648257305578533
15,0.99232394,0.013563152052214015,0.9874199,0.014932889441891922
16,0.99222016,0.01348236975372497,0.9872452,0.015258483362368533
17,0.99260056,0.012949370715561952,0.98631334,0.01517802202255505
18,0.9927734,0.01250496954879301,0.9868375,0.014818227341748926
19,0.99301547,0.012256913375154388,0.98718697,0.013510830333591673
20,0.99305004,0.011879645173865637,0.9870122,0.014654892729161727
21,0.9931192,0.011489136278158377,0.9878276,0.015519260585800618
22,0.99336123,0.0112020447410344,0.98631334,0.015808052569801192
23,0.9938107,0.010952062248262154,0.9878276,0.01360408264668433
24,0.99387985,0.010513735847823754,0.9876529,0.013185976931627569
25,0.9943294,0.010351838486369008,0.986954,0.015256712829704557
26,0.9946406,0.010032724637992504,0.9878276,0.012408763592545936
27,0.99481344,0.009736770354315666,0.9882353,0.012114736170020627
28,0.9950555,0.009477652390243882,0.98759466,0.014164463309935352
29,0.99540126,0.00930431524192387,0.9868375,0.011509463197969635
30,0.9960582,0.00897035953020703,0.98747814,0.015372336107640903
31,0.9962657,0.008728263138260686,0.9872452,0.012919479577838542
32,0.9959891,0.008481209354763609,0.98648804,0.01815662565736492
33,0.99643856,0.00825019309516244,0.98771113,0.01538516497508288
34,0.99664605,0.007938851281061008,0.9870122,0.017073530345215172
35,0.99633485,0.0077957956039286435,0.98730344,0.014745894969081996
36,0.99695724,0.007531700990271022,0.98759466,0.013014904653490478
37,0.997303,0.007296135180300135,0.98730344,0.017277446409402975
38,0.9968535,0.007078255479512913,0.98747814,0.014054937944166514
39,0.99674976,0.006961731859870379,0.9878276,0.015584672502462286
40,0.9977179,0.006731722992393242,0.98771113,0.013839669416362013
41,0.9981328,0.0064964643728667735,0.9870122,0.013939963337606309
42,0.9977179,0.006366576193305836,0.9867793,0.01994906899994465
43,0.99799454,0.006167548566235239,0.98747814,0.015888282854900845
44,0.9983749,0.006007060253666983,0.9870122,0.02350094666734019
45,0.9977525,0.005870506953518129,0.98736167,0.01615670161084159
46,0.9982366,0.005744927669974668,0.9876529,0.015269759377756015
47,0.99796,0.00565635899070169,0.98788583,0.018898662189680743
48,0.998444,0.005435327904908877,0.9866628,0.026628632043372125
49,0.9987898,0.005288012396608752,0.98794407,0.01773408738058581
