epoch,acc,loss,val_acc,val_loss
0,0.9892811,0.018210386193314675,1.0,0.01633584241294328
1,0.9904222,0.017752051470864158,1.0,0.016209017901613727
2,0.9911137,0.01714960787657713,1.0,0.015923066252020484
3,0.99190897,0.016818904339265563,1.0,0.015674556527474074
4,0.9929117,0.016509063608869966,1.0,0.015436796873835656
5,0.9924968,0.016318302654709637,1.0,0.015191575652768826
6,0.9946406,0.015717549642204624,1.0,0.014841317473191012
7,0.99481344,0.015164483411436029,0.9998836,0.01436676672578302
8,0.9953321,0.014644961893158679,1.0,0.013946032321541891
9,0.9961965,0.014257190633958184,0.9998836,0.013630417524186592
10,0.9968535,0.01394528306520627,1.0,0.013385439940227032
11,0.99616194,0.013835179012832065,1.0,0.013151822613423875
12,0.99674976,0.013376241825243537,0.9998836,0.013025421468849732
13,0.99695724,0.0130387871968287,1.0,0.012578146530443618
14,0.9978562,0.012671320982825347,1.0,0.012218883113668507
15,0.99827117,0.01227757618205292,1.0,0.011878801899956925
16,0.99768335,0.012046125402232844,0.9998836,0.011681265548024209
17,0.9980291,0.01167759947323685,1.0,0.011304977766170515
18,0.9986515,0.011309452030695282,0.9998836,0.01098406737673771
19,0.9989627,0.010987266084016789,0.9998836,0.010925474007799528
